"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0705927506013235,59,979,1.26306605379639,"Catalytic activity","https://amigo.geneontology.org/amigo/term/GO:0003824","ilvE ilvD ilvG engC leuC aroF dxs mutT argD metC glpB leuB gapA sucC aspC pepP metB hisC serC ilvI aroC dapA hscA bioD2 gcp APL_1125 aroE trpE trpD argH APL_1194 serB pstB ptsB pepN tehB mltF APL_1422 serA thrC cysE poxA wecC lipA mrdA ureA glmS APL_1705 nanA ilvC dapD dapE proA fabG rimI hisG hisD hisB hisA"
0.0721155623882391,4,17,4.93137254901961,"Aromatic amino acid family metabolic process, and Anthranilate synthase/para-aminobenzoate synthase like domain","","aroC aroE trpE trpD"
0.0721155623882391,3,9,6.98611111111111,"Lysine biosynthetic process","https://amigo.geneontology.org/amigo/term/GO:0009085","dapA dapD dapE"
0.0721155623882391,3,9,6.98611111111111,"Lysine biosynthetic process via diaminopimelate","https://amigo.geneontology.org/amigo/term/GO:0009089","dapA dapD dapE"
0.0721155623882391,3,9,6.98611111111111,"Diaminopimelate metabolic process","https://amigo.geneontology.org/amigo/term/GO:0046451","dapA dapD dapE"
0.0721155623882391,4,17,4.93137254901961,"ATPase, nucleotide binding domain","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR043129","ftsA hscA gcp dnaK"
0.0790641803667247,41,621,1.38372249060655,"Organic cyclic compound binding","https://amigo.geneontology.org/amigo/term/GO:0097159","dppF recR ilvG proQ engC dxs argD metC leuB gapA sucC rplY mukB lrp ftsK aspC metB hisC serC ilvI hscA bioD2 APL_1125 aroE APL_1194 pstB APL_1422 serA thrC poxA wecC modF mrdA cbiO gntR-2 sfsA dnaK proA fabG hisG hisD"
0.0790641803667247,41,621,1.38372249060655,"Heterocyclic compound binding","https://amigo.geneontology.org/amigo/term/GO:1901363","dppF recR ilvG proQ engC dxs argD metC leuB gapA sucC rplY mukB lrp ftsK aspC metB hisC serC ilvI hscA bioD2 APL_1125 aroE APL_1194 pstB APL_1422 serA thrC poxA wecC modF mrdA cbiO gntR-2 sfsA dnaK proA fabG hisG hisD"
0.0870661908895301,4,18,4.65740740740741,"Mixed, incl. Biotin metabolism, and DAHP synthase, class 1","","aroF lrp ftsK bioD2"
0.0874829661628109,11,104,2.21674679487179,"Magnesium","https://www.uniprot.org/keywords/KW-0460","ilvG dxs leuB sucC ilvI bioD2 trpE trpD ilvC hisG hisB"
0.0944379059284949,3,10,6.2875,"Glutathione metabolism, and Cystathionine beta-lyase activity","","metC aspC pepN"
0.0944379059284949,3,10,6.2875,"Lysine metabolic process","https://amigo.geneontology.org/amigo/term/GO:0006553","dapA dapD dapE"
0.102283321908674,4,19,4.41228070175439,"Hydro-lyase activity","https://amigo.geneontology.org/amigo/term/GO:0016836","ilvD leuC dapA hisB"
0.102283321908674,2,4,10.4791666666667,"Solute-binding protein family 3/N-terminal domain of MltF","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR001638","artI mltF"
0.102283321908674,2,4,10.4791666666667,"DHS-like NAD/FAD-binding domain superfamily","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR029035","ilvG ilvI"
0.102283321908674,2,4,10.4791666666667,"Leucine biosynthesis","https://www.uniprot.org/keywords/KW-0432","leuC leuB"
0.102283321908674,5,30,3.49305555555556,"NADP","https://www.uniprot.org/keywords/KW-0521","aroC aroE ilvC proA fabG"
0.102283321908674,2,4,10.4791666666667,"ER-Phagosome pathway","https://reactome.org/content/detail/R-MAP-1236974","ompP2 APL_1705"
0.102283321908674,2,4,10.4791666666667,"Antigen processing-Cross presentation","https://reactome.org/content/detail/R-MAP-1236975","ompP2 APL_1705"
0.102283321908674,2,4,10.4791666666667,"Toll Like Receptor 4 (TLR4) Cascade","https://reactome.org/content/detail/R-MAP-166016","ompP2 APL_1705"
0.102283321908674,2,4,10.4791666666667,"MyD88:MAL(TIRAP) cascade initiated on plasma membrane","https://reactome.org/content/detail/R-MAP-166058","ompP2 APL_1705"
0.102283321908674,2,4,10.4791666666667,"Toll Like Receptor TLR1:TLR2 Cascade","https://reactome.org/content/detail/R-MAP-168179","ompP2 APL_1705"
0.102283321908674,2,4,10.4791666666667,"Toll Like Receptor TLR6:TLR2 Cascade","https://reactome.org/content/detail/R-MAP-168188","ompP2 APL_1705"
0.102283321908674,2,4,10.4791666666667,"Toll-like Receptor Cascades","https://reactome.org/content/detail/R-MAP-168898","ompP2 APL_1705"
0.102283321908674,2,4,10.4791666666667,"Toll Like Receptor 2 (TLR2) Cascade","https://reactome.org/content/detail/R-MAP-181438","ompP2 APL_1705"
0.102283321908674,2,4,10.4791666666667,"Diseases of Immune System","https://reactome.org/content/detail/R-MAP-5260271","ompP2 APL_1705"
0.102283321908674,2,4,10.4791666666667,"Diseases associated with the TLR signaling cascade","https://reactome.org/content/detail/R-MAP-5602358","ompP2 APL_1705"
0.102283321908674,2,4,10.4791666666667,"MyD88 deficiency (TLR2/4)","https://reactome.org/content/detail/R-MAP-5602498","ompP2 APL_1705"
0.102283321908674,2,4,10.4791666666667,"IRAK4 deficiency (TLR2/4)","https://reactome.org/content/detail/R-MAP-5603041","ompP2 APL_1705"
0.102283321908674,2,4,10.4791666666667,"DegT/DnrJ/EryC1/StrS aminotransferase family","https://www.ebi.ac.uk/interpro/entry/pfam/PF01041","metB APL_1125"
0.102283321908674,2,4,10.4791666666667,"Bacterial periplasmic substrate-binding proteins","https://smart.embl.de/smart/do_annotation.pl?ACC=SM00062","artI mltF"
0.102922098280149,4,20,4.19166666666667,"Sulfur amino acid metabolic process","https://amigo.geneontology.org/amigo/term/GO:0000096","metC metB APL_1125 cysE"
0.102922098280149,4,20,4.19166666666667,"Protein folding","https://amigo.geneontology.org/amigo/term/GO:0006457","hscA dmsD APL_1705 dnaK"
0.102922098280149,3,11,5.71590909090909,"Chorismate metabolic process","https://amigo.geneontology.org/amigo/term/GO:0046417","aroF aroC aroE"
0.102922098280149,6,42,2.99404761904762,"NAD(P)-binding domain superfamily","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR036291","gapA aroE serA wecC ilvC fabG"
0.125184751733294,5,32,3.27473958333333,"Organic hydroxy compound metabolic process","https://amigo.geneontology.org/amigo/term/GO:1901615","dxs glpB ykgF serC aroE"
0.130741214833192,3,12,5.23958333333333,"Peptidyl-amino acid modification","https://amigo.geneontology.org/amigo/term/GO:0018193","poxA lipA rimI"
0.134639791016234,2,5,8.38333333333333,"Ammonia-lyase activity, and O-acetyltransferase activity","","metB serB"
0.134639791016234,2,5,8.38333333333333,"Histidine metabolism","","hisB hisA"
0.134639791016234,2,5,8.38333333333333,"Tryptophan biosynthetic process","https://amigo.geneontology.org/amigo/term/GO:0000162","trpE trpD"
0.134639791016234,2,5,8.38333333333333,"Aminopeptidase activity","https://amigo.geneontology.org/amigo/term/GO:0004177","pepP pepN"
0.134639791016234,2,5,8.38333333333333,"Tryptophan metabolic process","https://amigo.geneontology.org/amigo/term/GO:0006568","trpE trpD"
0.134639791016234,2,5,8.38333333333333,"Cellular biogenic amine metabolic process","https://amigo.geneontology.org/amigo/term/GO:0006576","trpE trpD"
0.134639791016234,2,5,8.38333333333333,"Indolalkylamine metabolic process","https://amigo.geneontology.org/amigo/term/GO:0006586","trpE trpD"
0.134639791016234,4,22,3.81060606060606,"Glutamine family amino acid metabolic process","https://amigo.geneontology.org/amigo/term/GO:0009064","argD argH glmS proA"
0.134639791016234,4,22,3.81060606060606,"Aspartate family amino acid biosynthetic process","https://amigo.geneontology.org/amigo/term/GO:0009067","dapA thrC dapD dapE"
0.134639791016234,2,5,8.38333333333333,"Amine biosynthetic process","https://amigo.geneontology.org/amigo/term/GO:0009309","trpE trpD"
0.134639791016234,2,5,8.38333333333333,"Carbon-oxygen lyase activity, acting on phosphates","https://amigo.geneontology.org/amigo/term/GO:0016838","aroC thrC"
0.134639791016234,2,5,8.38333333333333,"Cellular biogenic amine biosynthetic process","https://amigo.geneontology.org/amigo/term/GO:0042401","trpE trpD"
0.134639791016234,2,5,8.38333333333333,"Indole-containing compound metabolic process","https://amigo.geneontology.org/amigo/term/GO:0042430","trpE trpD"
0.134639791016234,2,5,8.38333333333333,"Indole-containing compound biosynthetic process","https://amigo.geneontology.org/amigo/term/GO:0042435","trpE trpD"
0.134639791016234,2,5,8.38333333333333,"Cellular amine metabolic process","https://amigo.geneontology.org/amigo/term/GO:0044106","trpE trpD"
0.134639791016234,2,5,8.38333333333333,"Protein folding chaperone","https://amigo.geneontology.org/amigo/term/GO:0044183","hscA dnaK"
0.134639791016234,2,5,8.38333333333333,"Indolalkylamine biosynthetic process","https://amigo.geneontology.org/amigo/term/GO:0046219","trpE trpD"
0.134639791016234,2,5,8.38333333333333,"ATP-dependent protein folding chaperone","https://amigo.geneontology.org/amigo/term/GO:0140662","hscA dnaK"
0.134639791016234,2,5,8.38333333333333,"Aldehyde/histidinol dehydrogenase","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR016161","proA hisD"
0.134639791016234,2,5,8.38333333333333,"Aminopeptidase","https://www.uniprot.org/keywords/KW-0031","pepP pepN"
0.134639791016234,2,5,8.38333333333333,"Chromosome partition","https://www.uniprot.org/keywords/KW-0159","mukB ftsK"
0.134639791016234,2,5,8.38333333333333,"Tryptophan biosynthesis","https://www.uniprot.org/keywords/KW-0822","trpE trpD"
0.134639791016234,2,5,8.38333333333333,"Adaptive Immune System","https://reactome.org/content/detail/R-MAP-1280218","ompP2 APL_1705"
0.134639791016234,2,5,8.38333333333333,"Class I MHC mediated antigen processing & presentation","https://reactome.org/content/detail/R-MAP-983169","ompP2 APL_1705"
0.134639791016234,2,5,8.38333333333333,"Bacterial transferase hexapeptide (six repeats)","https://www.ebi.ac.uk/interpro/entry/pfam/PF00132","cysE dapD"
0.151623307398417,24,338,1.48816568047337,"Transferase activity","https://amigo.geneontology.org/amigo/term/GO:0016740","ilvE ilvG aroF dxs argD aspC metB hisC serC ilvI gcp APL_1125 trpD APL_1194 ptsB tehB mltF cysE lipA glmS dapD fabG rimI hisG"
0.164842062858111,24,341,1.47507331378299,"Nucleotide binding","https://amigo.geneontology.org/amigo/term/GO:0000166","dppF ilvG engC leuB gapA sucC mukB ftsK ilvI hscA bioD2 aroE pstB APL_1422 serA poxA wecC modF cbiO dnaK proA fabG hisG hisD"
0.164842062858111,3,14,4.49107142857143,"Glutamine family amino acid biosynthetic process","https://amigo.geneontology.org/amigo/term/GO:0009084","argD argH proA"
0.164842062858111,24,341,1.47507331378299,"Nucleoside phosphate binding","https://amigo.geneontology.org/amigo/term/GO:1901265","dppF ilvG engC leuB gapA sucC mukB ftsK ilvI hscA bioD2 aroE pstB APL_1422 serA poxA wecC modF cbiO dnaK proA fabG hisG hisD"
0.164842062858111,3,14,4.49107142857143,"HAD superfamily","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR023214","APL_1213 serB hisB"
